lat,lon,datetime,source,notes,confidence,category
33.4,-118.5,,NUFORC / military testimony,Santa Catalina Channel CA — highest US USO density. Active submarine fault system (San Clemente + Catalina faults). Documented gravity + magnetic lows. Multiple decades of incidents.,3,uap
34.4,-119.7,,NUFORC / MUFON,Santa Barbara CA — Catalina Triangle vertex. Multiple underwater light and craft reports.,2,uap
29.1,-118.3,,NUFORC accounts,Guadalupe Island MX — Catalina Triangle southern vertex. Remote; deep water (>3000m). Multiple USO sighting cluster.,2,uap
43.5,-65.7,1967-10-04,Canadian government documents / JRDB,Shag Harbour Nova Scotia — 1967 official Canadian government investigation. Multiple witnesses including RCMP. Object entered water. Naval recovery operation documented.,4,uap
18.2,-67.1,2013-04-25,DHS FLIR video / Aguadilla PR,Aguadilla PR — DHS FLIR thermal video leaked 2013. Object enters ocean accelerates submerged exits water. Puerto Rico Trench proximity.,4,uap
32.0,-118.0,2004-11-14,US Navy ATFLIR video / pilot testimony,USS Nimitz encounter off San Diego — Tic Tac object transmedium behavior documented on ATFLIR. Navy pilots Lt. Cmdr. David Fravor + others. Official USG acknowledgment.,5,uap
36.9,-75.9,2014-11-10,US Navy F/A-18 FLIR / GO FAST video,USS Theodore Roosevelt encounter — GO FAST video. USG acknowledged. Atlantic Fleet operational area.,4,uap
36.8,-75.9,2015-01-20,US Navy GIMBAL video,USS Theodore Roosevelt GIMBAL video — rotating object Atlantic coast off Jacksonville FL area. USG acknowledged.,4,uap
20.5,-157.0,,NUFORC HI reports,Hawaiian Islands — USS Nimitz RON site. Multiple USO clusters in deep water areas.,2,uap
-33.0,-71.5,2014-08-01,Chilean Navy CEFAA / pilot testimony,Chilean Navy helicopter crew filmed metallic object ejecting gas off Pacific coast. Official CEFAA investigation. Transmedium behavior reported.,4,uap
51.1,-1.4,1977-06-15,RN Fal / North Sea accounts,North Sea oil rig incidents — workers observed objects entering North Sea water near platforms. Multiple incidents 1970s-80s. Some FOIA documentation.,2,uap
