lat,lon,datetime,source,notes,confidence,category
40.2572,-109.8910,,AAWSAP program / Congressional testimony,Skinwalker Ranch UT — DIA AAWSAP $22M contract 2008-2012. 38 classified technical reports. Documented EM anomalies radiation spikes animal injuries. Uintah Basin.,4,infrastructure
37.2350,-115.8111,,CIA CREST FOIA / DOD acknowledgment 2013,Area 51 / Groom Lake NV — Officially acknowledged 2013. Advanced aircraft testing confirmed (U-2 SR-71 F-117). Active testing continues. Proximate to NTS.,5,infrastructure
36.9833,-115.7833,,Bob Lazar claims / satellite imagery,S-4 / Papoose Lake NV — Bob Lazar testimony; unconfirmed as separate facility. Coordinates widely reported. Papoose dry lake visible on satellite.,2,infrastructure
40.1939,-113.0591,,US Army public record,Dugway Proving Ground UT — US Army chemical/biological test range. 85 miles SW Salt Lake City. Active restricted airspace. Uintah Basin proximity.,5,infrastructure
37.1000,-116.0500,,DOE public record / AEC historical,Nevada Test Site NV — 928 nuclear tests 1951-1992. Multiple atmospheric underground tests. Extensive contamination monitoring ongoing.,5,infrastructure
35.6841,-117.6853,,US Navy public record,China Lake NAWS CA — Largest Navy land holding US. Weapons testing. Restricted airspace over seismically active zone. Mojave Desert.,5,infrastructure
32.3838,-106.4826,,US Army public record,White Sands Missile Range NM — Trinity Site first atomic bomb test 1945. Ongoing classified testing. Rio Grande Rift proximity.,5,infrastructure
39.7186,-77.4636,,Cheney memoirs / DoD acknowledgment,Raven Rock Mountain Complex PA — Alternate Pentagon; confirmed DUMB. Blue Ridge Mountains. Continuity of government facility.,5,infrastructure
39.0639,-77.8878,,Congressional record / FEMA acknowledgment,Mount Weather VA — FEMA continuity facility; confirmed underground. Blue Ridge Mountains quartzite. Officially acknowledged after aircraft crash 1974.,5,infrastructure
38.7442,-104.8460,,NORAD public record,Cheyenne Mountain Complex CO — NORAD USSPACECOM. 1800ft granite. Blast-door protected. Multiple UAP tracks historically.,5,infrastructure
34.6291,-118.0839,,Lockheed Martin public record,Skunk Works Plant 42 Palmdale CA — Advanced aircraft manufacturing. Antelope Valley black project corridor. F-22 B-2 development.,4,infrastructure
34.7366,-117.3161,,Aviation Week / satellite imagery,Helendale RCS Facility CA — Radar cross-section test facility. Clearly visible on satellite imagery as circular pads. Lockheed Skunk Works operation.,4,infrastructure
38.5,-118.5,,Aviation research / FOIA,Tonopah Test Range NV — F-117 stealth aircraft testing 1981-1988. Black budget. Southern Nevada restricted airspace complex.,4,infrastructure
35.0,-105.5,,DARPA / DoD accounts,Kirtland Underground Munitions Storage Complex NM — KUMSC adjacent to Sandia NL and Kirtland AFB. Documented UAP activity per AFOSI reports.,4,infrastructure
