lat,lon,datetime,source,notes,confidence,category
36.0608,-107.9578,,UNESCO / NPS / Chaco Canyon research,Chaco Canyon NM — Anasazi astronomical alignment complex. Crossing of multiple fault systems beneath site. Radioactive thorite deposits documented by USGS. UAP density zone.,2,historical
34.8697,-111.7610,,Sedona AZ geological survey / local accounts,Sedona AZ vortex sites — Complex of crossing fault lines beneath. Iron oxide formations produce visible magnetic anomalies. Radon potential elevated.,2,historical
37.5775,-105.4856,,Ute/Navajo oral tradition / NPS,Blanca Peak CO Sangre de Cristo Mountains — Ute and Navajo sacred mountain. Heart of San Luis Valley UAP/mutilation zone. Rio Grande Rift eastern shoulder. 14ers geology granite/gneiss.,2,historical
36.4072,-105.5731,,Taos Pueblo / scientific investigation,Taos NM Taos Hum area — Persistent low-frequency hum reported by residents since 1990s. DOE/USGS/Sandia investigation inconclusive. Possible infrasound from geological sources.,3,historical
44.4744,-103.4339,,Lakota tradition / NPS,Bear Butte SD — Lakota/Cheyenne sacred site. Black Hills granite intrusion. Seismically anomalous zone for midcontinent.,2,historical
37.8,-109.1,,Navajo / Hopi tradition,Monument Valley AZ/UT — Navajo Nation sacred landscape. Permian/Triassic sandstone-shale interface. Documented UAP reports from Four Corners region.,2,historical
45.8,-110.5,,Crow tradition / NPS,Bighorn Medicine Wheel WY — Stone circle aligned to astronomical events. Bighorn Mountains granite. Seismically active zone.,2,historical
36.7,-108.5,,Ancestral Puebloan sites,Mesa Verde CO — Cliff dwellings. San Juan Basin coal measures and uranium deposits beneath. Four Corners UAP hotspot.,2,historical
38.5,-109.6,,Navajo tradition,Canyonlands UT — Navajo sacred landscape. Uranium-bearing Jurassic sandstone. Uinta Basin proximity.,2,historical
36.9,-111.5,,Navajo Nation,Navajo Mountain UT/AZ — Remote sacred peak. Lake Powell / Glen Canyon geology. Monument Upwarp anticline.,2,historical
