lat,lon,datetime,source,notes,confidence,category
37.5,-106.0,1975-01-01,Howe earthfiles.com / Chris O'Brien,San Luis Valley CO epicenter — multiple forensic anomaly cases bloodless/surgical,2,anomalous_incident
37.4,-105.8,1979-03-15,Chris O'Brien Stalking the Herd,San Luis Valley CO — law enforcement documented case no tracks no scavenger activity,2,anomalous_incident
37.6,-105.9,1980-07-22,NIDS report,San Luis Valley CO — negative EMF at site no predator evidence,2,anomalous_incident
39.2,-97.7,1973-09-10,FBI Vault Animal Mutilation files,Kansas corridor US Hwy 81 cluster 1973 wave bloodless incision,2,anomalous_incident
39.5,-97.5,1973-10-05,FBI Vault Animal Mutilation files,Kansas corridor US Hwy 81 — surgical precision no blood,2,anomalous_incident
39.3,-97.6,1973-11-12,FBI Vault Animal Mutilation files,Kansas corridor Hwy 81 — 1973 cluster 40+ cases statewide,2,anomalous_incident
43.5,-119.0,2019-06-15,Silvies Valley Ranch OR press reports,Five Black Angus bulls Silvies Valley OR — no blood no tracks no cause determined,2,anomalous_incident
40.3,-109.8,2002-08-20,NIDS report / Skinwalker Ranch proximity,Uintah Basin UT near Skinwalker Ranch — documented on AAWSAP site,2,anomalous_incident
40.1,-109.5,2004-05-14,NIDS report,Uintah Basin UT — bloodless surgical removal NIDS case file,2,anomalous_incident
36.9,-104.5,1978-04-11,Linda Moulton Howe earthfiles.com,Northern New Mexico — cored organs no blood no footprints near Vermejo Park Ranch,2,anomalous_incident
35.5,-105.2,1982-09-08,earthfiles.com,New Mexico Mora County — veterinarian examined no predator consistent injuries,2,anomalous_incident
38.8,-108.5,1989-06-30,Colorado rancher report / NIDS,Western Colorado Mesa County — nocturnal lights reported same week,2,anomalous_incident
44.0,-113.0,1994-08-18,Idaho law enforcement report,Custer County ID — no blood no tracks negative readings with Geiger counter,2,anomalous_incident
47.0,-109.4,1976-07-25,Montana rancher + sheriff report,Central Montana — four cases same 30-day window unusual aircraft reported,2,anomalous_incident
30.5,-97.8,1974-11-30,Texas investigation report,Central Texas — early wave case no tracks no blood consistent with other cases,2,anomalous_incident
