lat,lon,name,operator,facility_type,source,notes,category,confidence
34.629,-118.084,Lockheed Martin Skunk Works (Air Force Plant 42 Site 10),Lockheed Martin,test_range,Public corporate/government facility records,Classified flight-test campus; transponder-off prototype flights documented nearby (B-2/B-21/SR-72 lineage). Human-tech confound for co-located UAP reports.,infrastructure,2
34.631,-118.078,Northrop Grumman Aeronautics (Plant 42 Site 4),Northrop Grumman,manufacturing,Public corporate/government facility records,B-2 and B-21 Raider production/flight test. Confound for nighttime aerial anomaly reports in the Antelope Valley.,infrastructure,2
38.748,-90.360,Boeing Phantom Works,Boeing,research_lab,Public corporate/government facility records,Advanced prototyping arm of Boeing Defense (St. Louis). Public R&D campus.,infrastructure,2
40.000,-83.041,Battelle Memorial Institute HQ,Battelle,research_lab,Public corporate/government facility records,Largest private R&D nonprofit; historically named in UAP-materials-handling speculation. Listed as public-facility context only.,infrastructure,2
35.052,-106.545,Sandia National Laboratories (Kirtland AFB),Sandia/DOE,research_lab,Public corporate/government facility records,Nuclear weapons engineering + sensor research. Overlaps Kirtland/AFTAC corridor.,infrastructure,2
39.813,-84.049,Air Force Research Laboratory (Wright-Patterson AFB),AFRL/USAF,research_lab,Public corporate/government facility records,AFRL HQ; historical Project Blue Book and foreign-technology evaluation site.,infrastructure,2
37.795,-116.781,Tonopah Test Range,Sandia/USAF,test_range,Public corporate/government facility records,Classified flight-test range adjacent to NTTR; documented transponder-off operations. Strong human-tech confound.,infrastructure,2
32.108,-110.886,Raytheon Missile Systems,Raytheon (RTX),manufacturing,Public corporate/government facility records,Missile and directed-energy development (Tucson). Public campus.,infrastructure,2
40.052,-105.214,Ball Aerospace,Ball Aerospace,manufacturing,Public corporate/government facility records,Spacecraft and optical/IR sensor builder (Boulder). Public campus.,infrastructure,2
32.769,-97.441,Lockheed Martin Aeronautics (Air Force Plant 4),Lockheed Martin,manufacturing,Public corporate/government facility records,F-35/F-16 production and flight test (Fort Worth).,infrastructure,2
39.531,-105.140,Lockheed Martin Space (Waterton Canyon),Lockheed Martin,research_lab,Public corporate/government facility records,Spacecraft + classified payload integration (Littleton CO).,infrastructure,2
33.864,-118.382,Northrop Grumman Space Park,Northrop Grumman,research_lab,Public corporate/government facility records,Historic TRW/Space Park; spacecraft and classified payloads (Redondo Beach).,infrastructure,2
34.905,-117.883,NASA Armstrong Flight Research Center (Edwards AFB),NASA/USAF,test_range,Public corporate/government facility records,High-speed and experimental flight test. Documented ADS-B suppression. Human-tech confound.,infrastructure,2
32.379,-106.475,White Sands Missile Range HQ,US Army,proving_ground,Public corporate/government facility records,Largest US military test range; restricted airspace R-5107. Overlaps documented ADS-B gap.,infrastructure,2
35.685,-117.692,Naval Air Weapons Station China Lake,US Navy,test_range,Public corporate/government facility records,Weapons R&D and flight test (Ridgecrest CA).,infrastructure,2
37.235,-115.811,Groom Lake (Area 51 / Homey Airport),USAF (publicly acknowledged),test_range,Public corporate/government facility records,Publicly acknowledged classified flight-test site. Janet Airlines + untracked platforms; primary human-tech confound for the region.,infrastructure,2
40.190,-112.750,Dugway Proving Ground,US Army,proving_ground,Public corporate/government facility records,Chemical/biological defense and sensor testing (UT).,infrastructure,2
35.844,-106.287,Los Alamos National Laboratory,LANL/DOE,research_lab,Public corporate/government facility records,Nuclear design lab; overlaps nuclear-facility layer.,infrastructure,2
37.688,-121.706,Lawrence Livermore National Laboratory,LLNL/DOE,research_lab,Public corporate/government facility records,Nuclear + directed-energy (NIF) research (CA).,infrastructure,2
38.882,-77.111,DARPA HQ,DARPA/DoD,hq,Public corporate/government facility records,Defense Advanced Research Projects Agency headquarters (Arlington VA). Administrative site.,infrastructure,2
39.168,-76.899,Johns Hopkins Applied Physics Laboratory,JHU/APL,research_lab,Public corporate/government facility records,University-affiliated defense R&D (Laurel MD).,infrastructure,2
32.962,-117.036,General Atomics Aeronautical Systems,General Atomics,manufacturing,Public corporate/government facility records,MQ-1/MQ-9 drone development (Poway CA). Drone-traffic confound.,infrastructure,2
42.459,-71.267,MIT Lincoln Laboratory,MIT/USAF,research_lab,Public corporate/government facility records,Federally funded R&D center; radar and space-surveillance sensors (Lexington MA).,infrastructure,2
41.760,-72.645,Pratt & Whitney,RTX,manufacturing,Public corporate/government facility records,Military and commercial propulsion (East Hartford CT).,infrastructure,2
38.721,-77.515,Aurora Flight Sciences,Boeing,research_lab,Public corporate/government facility records,Autonomous and experimental aircraft (Manassas VA).,infrastructure,2
33.916,-118.402,Raytheon / SpaceX corridor (El Segundo aerospace cluster),Multiple,contractor_campus,Public corporate/government facility records,Dense Southern California aerospace manufacturing cluster (El Segundo). Background human-tech density for Zone B.,infrastructure,2
